Round,Round Name,HomeTeam,AwayTeam,UTC Time,Finished,Started,Cancelled,Awarded,Match Status,FTHG,FTAG
22,22,Milan,Bologna,2024-01-27T19:45:00Z,True,True,False,False,Full-Time,2,2
22,22,Genoa,Lecce,2024-01-28T11:30:00Z,True,True,False,False,Full-Time,2,1
22,22,Verona,Frosinone,2024-01-28T14:00:00Z,True,True,False,False,Full-Time,1,1
22,22,Monza,Sassuolo,2024-01-28T14:00:00Z,True,True,False,False,Full-Time,1,0
22,22,Lazio,Napoli,2024-01-28T17:00:00Z,True,True,False,False,Full-Time,0,0
22,22,Fiorentina,Inter,2024-01-28T19:45:00Z,True,True,False,False,Full-Time,0,1
22,22,Salernitana,Roma,2024-01-29T19:45:00Z,True,True,False,False,Full-Time,1,2
23,23,Lecce,Fiorentina,2024-02-02T19:45:00Z,True,True,False,False,Full-Time,3,2
23,23,Empoli,Genoa,2024-02-03T14:00:00Z,True,True,False,False,Full-Time,0,0
23,23,Udinese,Monza,2024-02-03T14:00:00Z,True,True,False,False,Full-Time,0,0
23,23,Frosinone,Milan,2024-02-03T17:00:00Z,True,True,False,False,Full-Time,2,3
23,23,Bologna,Sassuolo,2024-02-03T19:45:00Z,True,True,False,False,Full-Time,4,2
23,23,Torino,Salernitana,2024-02-04T11:30:00Z,True,True,False,False,Full-Time,0,0
23,23,Napoli,Verona,2024-02-04T14:00:00Z,True,True,False,False,Full-Time,2,1
23,23,Atalanta,Lazio,2024-02-04T17:00:00Z,True,True,False,False,Full-Time,3,1
23,23,Inter,Juventus,2024-02-04T19:45:00Z,True,True,False,False,Full-Time,1,0
23,23,Roma,Cagliari,2024-02-05T19:45:00Z,True,True,False,False,Full-Time,4,0
24,24,Salernitana,Empoli,2024-02-09T19:45:00Z,True,True,False,False,Full-Time,1,3
24,24,Cagliari,Lazio,2024-02-10T14:00:00Z,True,True,False,False,Full-Time,1,3
24,24,Roma,Inter,2024-02-10T17:00:00Z,True,True,False,False,Full-Time,2,4
24,24,Sassuolo,Torino,2024-02-10T19:45:00Z,True,True,False,False,Full-Time,1,1
24,24,Fiorentina,Frosinone,2024-02-11T11:30:00Z,True,True,False,False,Full-Time,5,1
24,24,Bologna,Lecce,2024-02-11T14:00:00Z,True,True,False,False,Full-Time,4,0
24,24,Monza,Verona,2024-02-11T14:00:00Z,True,True,False,False,Full-Time,0,0
24,24,Genoa,Atalanta,2024-02-11T17:00:00Z,True,True,False,False,Full-Time,1,4
24,24,Milan,Napoli,2024-02-11T19:45:00Z,True,True,False,False,Full-Time,1,0
24,24,Juventus,Udinese,2024-02-12T19:45:00Z,True,True,False,False,Full-Time,0,1
21,21,Bologna,Fiorentina,2024-02-14T18:00:00Z,True,True,False,False,Full-Time,2,0
25,25,Torino,Lecce,2024-02-16T18:00:00Z,True,True,False,False,Full-Time,2,0
25,25,Inter,Salernitana,2024-02-16T20:00:00Z,True,True,False,False,Full-Time,4,0
25,25,Napoli,Genoa,2024-02-17T14:00:00Z,True,True,False,False,Full-Time,1,1
25,25,Verona,Juventus,2024-02-17T17:00:00Z,True,True,False,False,Full-Time,2,2
25,25,Atalanta,Sassuolo,2024-02-17T19:45:00Z,True,True,False,False,Full-Time,3,0
25,25,Lazio,Bologna,2024-02-18T11:30:00Z,True,True,False,False,Full-Time,1,2
25,25,Empoli,Fiorentina,2024-02-18T14:00:00Z,True,True,False,False,Full-Time,1,1
25,25,Udinese,Cagliari,2024-02-18T14:00:00Z,True,True,False,False,Full-Time,1,1
25,25,Frosinone,Roma,2024-02-18T17:00:00Z,True,True,False,False,Full-Time,0,3
25,25,Monza,Milan,2024-02-18T19:45:00Z,True,True,False,False,Full-Time,4,2
21,21,Torino,Lazio,2024-02-22T19:45:00Z,True,True,False,False,Full-Time,0,2
26,26,Bologna,Verona,2024-02-23T19:45:00Z,True,True,False,False,Full-Time,2,0
26,26,Sassuolo,Empoli,2024-02-24T14:00:00Z,True,True,False,False,Full-Time,2,3
26,26,Salernitana,Monza,2024-02-24T17:00:00Z,True,True,False,False,Full-Time,0,2
26,26,Genoa,Udinese,2024-02-24T19:45:00Z,True,True,False,False,Full-Time,2,0
26,26,Juventus,Frosinone,2024-02-25T11:30:00Z,True,True,False,False,Full-Time,3,2
26,26,Cagliari,Napoli,2024-02-25T14:00:00Z,True,True,False,False,Full-Time,1,1
26,26,Lecce,Inter,2024-02-25T17:00:00Z,True,True,False,False,Full-Time,0,4
26,26,Milan,Atalanta,2024-02-25T19:45:00Z,True,True,False,False,Full-Time,1,1
26,26,Roma,Torino,2024-02-26T17:30:00Z,True,True,False,False,Full-Time,3,2
26,26,Fiorentina,Lazio,2024-02-26T19:45:00Z,True,True,False,False,Full-Time,2,1
21,21,Sassuolo,Napoli,2024-02-28T17:00:00Z,True,True,False,False,Full-Time,1,6
21,21,Inter,Atalanta,2024-02-28T19:45:00Z,True,True,False,False,Full-Time,4,0
27,27,Lazio,Milan,2024-03-01T19:45:00Z,True,True,False,False,Full-Time,0,1
27,27,Udinese,Salernitana,2024-03-02T14:00:00Z,True,True,False,False,Full-Time,1,1
27,27,Monza,Roma,2024-03-02T17:00:00Z,True,True,False,False,Full-Time,1,4
27,27,Torino,Fiorentina,2024-03-02T19:45:00Z,True,True,False,False,Full-Time,0,0
27,27,Verona,Sassuolo,2024-03-03T11:30:00Z,True,True,False,False,Full-Time,1,0
27,27,Empoli,Cagliari,2024-03-03T14:00:00Z,True,True,False,False,Full-Time,0,1
27,27,Frosinone,Lecce,2024-03-03T14:00:00Z,True,True,False,False,Full-Time,1,1
27,27,Atalanta,Bologna,2024-03-03T17:00:00Z,True,True,False,False,Full-Time,1,2
27,27,Napoli,Juventus,2024-03-03T19:45:00Z,True,True,False,False,Full-Time,2,1
27,27,Inter,Genoa,2024-03-04T19:45:00Z,True,True,False,False,Full-Time,2,1
28,28,Napoli,Torino,2024-03-08T19:45:00Z,True,True,False,False,Full-Time,1,1
28,28,Cagliari,Salernitana,2024-03-09T14:00:00Z,True,True,False,False,Full-Time,4,2
28,28,Sassuolo,Frosinone,2024-03-09T14:00:00Z,True,True,False,False,Full-Time,1,0
28,28,Bologna,Inter,2024-03-09T17:00:00Z,True,True,False,False,Full-Time,0,1
28,28,Genoa,Monza,2024-03-09T19:45:00Z,True,True,False,False,Full-Time,2,3
28,28,Lecce,Verona,2024-03-10T11:30:00Z,True,True,False,False,Full-Time,0,1
28,28,Milan,Empoli,2024-03-10T14:00:00Z,True,True,False,False,Full-Time,1,0
28,28,Juventus,Atalanta,2024-03-10T17:00:00Z,True,True,False,False,Full-Time,2,2
28,28,Fiorentina,Roma,2024-03-10T19:45:00Z,True,True,False,False,Full-Time,2,2
28,28,Lazio,Udinese,2024-03-11T19:45:00Z,True,True,False,False,Full-Time,1,2
29,29,Empoli,Bologna,2024-03-15T19:45:00Z,True,True,False,False,Full-Time,0,1
29,29,Monza,Cagliari,2024-03-16T14:00:00Z,True,True,False,False,Full-Time,1,0
29,29,Udinese,Torino,2024-03-16T14:00:00Z,True,True,False,False,Full-Time,0,2
29,29,Salernitana,Lecce,2024-03-16T17:00:00Z,True,True,False,False,Full-Time,0,1
29,29,Frosinone,Lazio,2024-03-16T19:45:00Z,True,True,False,False,Full-Time,2,3
29,29,Juventus,Genoa,2024-03-17T11:30:00Z,True,True,False,False,Full-Time,0,0
29,29,Verona,Milan,2024-03-17T14:00:00Z,True,True,False,False,Full-Time,1,3
29,29,Roma,Sassuolo,2024-03-17T17:00:00Z,True,True,False,False,Full-Time,1,0
29,29,Inter,Napoli,2024-03-17T19:45:00Z,True,True,False,False,Full-Time,1,1
30,30,Napoli,Atalanta,2024-03-30T11:30:00Z,True,True,False,False,Full-Time,0,3
